index,pts_seconds,width,height,pix_fmt,bytes
102,4.080000,320,180,i420,86400
103,4.120000,320,180,i420,86400
104,4.160000,320,180,i420,86400
105,4.200000,320,180,i420,86400
106,4.240000,320,180,i420,86400
107,4.280000,320,180,i420,86400
108,4.320000,320,180,i420,86400
109,4.360000,320,180,i420,86400
110,4.400000,320,180,i420,86400
111,4.440000,320,180,i420,86400
112,4.480000,320,180,i420,86400
113,4.520000,320,180,i420,86400
114,4.560000,320,180,i420,86400
115,4.600000,320,180,i420,86400
116,4.640000,320,180,i420,86400
117,4.680000,320,180,i420,86400
118,4.720000,320,180,i420,86400
119,4.760000,320,180,i420,86400
120,4.800000,320,180,i420,86400
121,4.840000,320,180,i420,86400
122,4.880000,320,180,i420,86400
123,4.920000,320,180,i420,86400
124,4.960000,320,180,i420,86400
125,5.000000,320,180,i420,86400
126,5.040000,320,180,i420,86400
127,5.080000,320,180,i420,86400
128,5.120000,320,180,i420,86400
129,5.160000,320,180,i420,86400
130,5.200000,320,180,i420,86400
131,5.240000,320,180,i420,86400
132,5.280000,320,180,i420,86400
133,5.320000,320,180,i420,86400
134,5.360000,320,180,i420,86400
135,5.400000,320,180,i420,86400
136,5.440000,320,180,i420,86400
137,5.480000,320,180,i420,86400
138,5.520000,320,180,i420,86400
139,5.560000,320,180,i420,86400
140,5.600000,320,180,i420,86400
141,5.640000,320,180,i420,86400
142,5.680000,320,180,i420,86400
143,5.720000,320,180,i420,86400
144,5.760000,320,180,i420,86400
145,5.800000,320,180,i420,86400
146,5.840000,320,180,i420,86400
147,5.880000,320,180,i420,86400
148,5.920000,320,180,i420,86400
149,5.960000,320,180,i420,86400
150,6.000000,320,180,i420,86400
151,6.040000,320,180,i420,86400
152,6.080000,320,180,i420,86400
153,6.120000,320,180,i420,86400
154,6.160000,320,180,i420,86400
155,6.200000,320,180,i420,86400
156,6.240000,320,180,i420,86400
157,6.280000,320,180,i420,86400
158,6.320000,320,180,i420,86400
159,6.360000,320,180,i420,86400
160,6.400000,320,180,i420,86400
161,6.440000,320,180,i420,86400
162,6.480000,320,180,i420,86400
163,6.520000,320,180,i420,86400
164,6.560000,320,180,i420,86400
165,6.600000,320,180,i420,86400
166,6.640000,320,180,i420,86400
167,6.680000,320,180,i420,86400
168,6.720000,320,180,i420,86400
169,6.760000,320,180,i420,86400
170,6.800000,320,180,i420,86400
171,6.840000,320,180,i420,86400
172,6.880000,320,180,i420,86400
173,6.920000,320,180,i420,86400
174,6.960000,320,180,i420,86400
175,7.000000,320,180,i420,86400
176,7.040000,320,180,i420,86400
177,7.080000,320,180,i420,86400
178,7.120000,320,180,i420,86400
179,7.160000,320,180,i420,86400
180,7.200000,320,180,i420,86400
181,7.240000,320,180,i420,86400
182,7.280000,320,180,i420,86400
183,7.320000,320,180,i420,86400
184,7.360000,320,180,i420,86400
185,7.400000,320,180,i420,86400
186,7.440000,320,180,i420,86400
187,7.480000,320,180,i420,86400
188,7.520000,320,180,i420,86400
189,7.560000,320,180,i420,86400
190,7.600000,320,180,i420,86400
191,7.640000,320,180,i420,86400
192,7.680000,320,180,i420,86400
193,7.720000,320,180,i420,86400
194,7.760000,320,180,i420,86400
195,7.800000,320,180,i420,86400
196,7.840000,320,180,i420,86400
197,7.880000,320,180,i420,86400
198,7.920000,320,180,i420,86400
199,7.960000,320,180,i420,86400
